Year, Title, Date_Granted, Date_Argued, Date_Decided
2021, "Badgerow v. Walters", 2021-05-16, 2021-11-01, 2022-03-30
2021, "Unicolors, Inc. v. H&M Hennes & Mauritz, L.P.", 2021-05-31, 2021-11-07, 2022-02-23
2021, "Patel v. Garland", 2021-06-27, 2021-12-05, 2022-05-15
2021, "City of Austin, Texas v. Reagan National Advertising of Texas Inc.", 2021-06-27, 2021-11-09, 2022-04-20
2021, "American Hospital Association v. Becerra", 2021-07-01, 2021-11-29, 2022-06-14
2021, "Cummings v. Premier Rehab Keller, P.L.L.C.", 2021-07-01, 2021-11-29, 2022-04-27
2021, "Pivotal Software, Inc. v. Tran", 2021-07-01, 0, 0
2021, "Carson v. Makin", 2021-07-01, 2021-12-07, 2022-06-20
2021, "Hughes v. Northwestern University", 2021-07-01, 2021-12-05, 2022-01-23
2021, "United States v. Taylor", 2021-07-01, 2021-12-06, 2022-06-20
2021, "Becerra v. Empire Health Foundation", 2021-07-01, 2021-11-28, 2022-06-23
2021, "Mississippi v. Tennessee", 2021-06-09, 2021-10-03, 2021-11-21
2021, "Gallardo v. Marstiller", 2021-07-01, 2022-01-09, 2022-06-05
2021, "Federal Bureau of Investigation v. Fazaga", 2021-06-06, 2021-11-07, 2022-03-03
2021, "Ramirez v. Collier", 2021-09-07, 2021-11-08, 2022-03-23
2021, "Whole Woman's Health v. Jackson", 2021-10-21, 2021-10-31, 2021-12-09
2021, "United States v. Texas", 2021-10-21, 2021-10-31, 2021-12-09
2021, "Boechler, P.C. v. Commissioner of Internal Revenue", 2021-09-29, 2022-01-11, 2022-04-20
2021, "Cassirer v. Thyssen-Bornemisza Collection Foundation", 2021-09-29, 2022-01-17, 2022-04-20
2021, "Concepcion v. United States", 2021-09-29, 2022-01-18, 2022-06-26
2021, "Ysleta del Sur Pueblo v. Texas", 2021-10-17, 2022-02-21, 2022-06-14
2021, "Denezpi v. United States", 2021-10-17, 2022-02-21, 2022-06-12
2021, "Shurtleff v. Boston", 2021-09-29, 2022-01-17, 2022-05-01
2021, "Federal Election Commission v. Ted Cruz for Senate", 2021-09-29, 2022-01-18, 2022-05-15
